"nquest","ncomp","nord","sex","anasc","staciv","ireg","y"
"29680","4","4","1","1994","2","19","1"
"29680","4","4","1","1994","2","19","1"
"29680","4","4","1","1994","2","19","2"
"29737","2","1","1","1951","1","16","2"
"29737","2","1","1","1951","1","16","6"
"29737","2","2","2","1953","1","16","2"
"29737","2","2","2","1953","1","16","6"
"29742","4","1","1","1952","1","16","1"
"29742","4","1","1","1952","1","16","3"
"29742","4","1","1","1952","1","16","1"
"29742","4","2","2","1954","1","16","1"
"29742","4","2","2","1954","1","16","3"
"29742","4","2","2","1954","1","16","1"
"29742","4","3","2","1975","2","16","1"
"29742","4","3","2","1975","2","16","3"
"29742","4","3","2","1975","2","16","1"
"29742","4","4","1","1986","2","16","1"
"29742","4","4","1","1986","2","16","3"
"29742","4","4","1","1986","2","16","1"
"29798","2","1","1","1935","1","11","1"
"29798","2","1","1","1935","1","11","3"
"29798","2","2","2","1936","1","11","1"
"29798","2","2","2","1936","1","11","3"
"29823","6","1","2","1960","1","15","1"
"29823","6","1","2","1960","1","15","3"
"29823","6","1","2","1960","1","15","1"
"29823","6","2","1","1965","1","15","1"
"29823","6","2","1","1965","1","15","3"
"29823","6","2","1","1965","1","15","1"
"29823","6","3","2","1994","2","15","1"
"29823","6","3","2","1994","2","15","3"
"29823","6","3","2","1994","2","15","1"
"29823","6","4","1","1995","2","15","1"
"29823","6","4","1","1995","2","15","3"
"29823","6","4","1","1995","2","15","1"
"29823","6","5","2","1998","2","15","1"
"29823","6","5","2","1998","2","15","3"
"29823","6","5","2","1998","2","15","1"
"29823","6","6","1","2001","2","15","1"
"29823","6","6","1","2001","2","15","3"
"29823","6","6","1","2001","2","15","1"
"31093","1","1","1","1954","2","1","3"
"31220","2","1","2","1938","1","8","1"
"31220","2","1","2","1938","1","8","6"
"31220","2","2","1","1935","1","8","1"
"31220","2","2","1","1935","1","8","6"
"31221","2","1","2","1938","4","8","1"
"31221","2","1","2","1938","4","8","2"
"31221","2","2","2","1979","2","8","1"
"31221","2","2","2","1979","2","8","2"
"31246","2","1","1","1942","1","1","1"
"31246","2","1","1","1942","1","1","3"
"31246","2","2","2","1944","1","1","1"
